会社名,キーマン人数,事業内容,業種,住所,設立年度,代表者名,資本金等,オリジナルタグ,企業URL,問い合わせフォームURL
株式会社ＳＨＵＵＥＩ,0,株式会社SHUUEIは、運送サービスを営む企業である。法人、個人を問わず、家具・家電等の大きな荷物から、生鮮食品等の冷蔵冷凍を必要とするクール便、宅急便では取扱ができない商品の配送まで幅広いサービスを提供している。また、倉庫での商品保管や入荷出荷に伴う在庫管理に至るまで複合的に倉庫・物流業務をも行っている。,"運輸・物流業界, 一般貨物輸送",〒 130-0023 東京都墨田区太平４丁目１３－２太平サクラビル５Ｆ,1998/2,菊地　賢一,"30,000,000円","有料職業紹介事業@一都三県, 人材サービス総合サイト掲載@東京, ハローワーク(事務職採用×一都三県), タウンワーク(在庫管理・商品管理_ア・バ・パ__神奈川検索), BtoB業種, ドライバー求人, 運送業",https://biz-maps.com/item/0W1wp73vlB,
株式会社ＫＡＩＳＨＩＮ,0,開真産業株式会社は、酒類、食品輸送を行う会社である。物流の分野として欠く事のできない安全性、高品質、効率化を最大限の営業方針と考え、「まごころを運ぶ」をモットーに事業を進めている。顧客ニーズに即座に対応できる体制、環境に配慮した業務改善を日々心がけている。,"運輸・物流業界, 重量物輸送, 倉庫",〒 144-0047 東京都大田区萩中１丁目６番２２号２Ｆ,1976/8,井田幸治,"2,100,000円","採用媒体掲載企業(倉庫業), リサイクル・廃棄物処理, 運送業",https://biz-maps.com/item/jg1637Ewl9,
浅上重機作業株式会社,0,浅上重機作業株式会社は、原料輸送や製品の荷役作業、環境整備作業等を行う。鉄鋼業界大手の製鉄所構内3ヶ所に営業所を構え、構内物流に特化したサービスを提供している。昭和45年にアサガミ株式会社100％出資の子会社として設立。高炉鉄鋼メーカーの製鉄所内における原料から製品に至るまでの物流業務全般、周辺環境に配慮した環境整備・清掃業務を一貫して担っている。,"運輸・物流業界, 一般貨物輸送",〒 100-0005 東京都千代田区有楽町１丁目１３番２号,1970/4/1,市川　征紀,"25,000,000円","平均年収.com(運輸・物流系企業子会社), 運送業",https://biz-maps.com/item/O2lgApEwYn,
ＧＢｔｅｃｈｎｏｌｏｇｙ株式会社,0,GBtechnology株式会社は、グローバルな物流に対応している運送会社である。一般物流事業やAmazonが提供しているFBA納品に対応している。その他にも倉庫管理や保管業務も行っており、少量多品種や少品種大量型まで様々な保管方法を提供している。また、倉庫に保管した商品の入出庫や配送も全て自社で行うことができるのが強みである。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 150-0011 東京都渋谷区渋谷２丁目１２番１２号,2014/7/22,黒瀬 忠欣,"90,000,000円","BtoB業種, 設立10年以内, グローバル化推進企業, トラック協会会員企業, 協会・組合",https://biz-maps.com/item/jVYqXXX2ZJ,
ＪＡＰＡＮ　ＥＸＰＲＥＳＳ株式会社,0,JAPANEXPRESS株式会社は、物流システムの最適化に向けて、企画・提案・運営する企業である。事業としては、航空貨物取扱事業、利用運送事業、物流倉庫事業、梱包業、貨物自動車運送事業、航空運送代理店事業等も展開しており、幅広いのが特徴の1つである。営業所は成田・東京・横浜の3つの拠点を持っている。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 135-0016 東京都江東区富岡２丁目９番１１号,2005/5/17,小瀬　信一,"25,000,000円","運送業, indeed(運送), indeed",https://biz-maps.com/item/D3YbrRVmYz,
株式会社Ｚ,0,リムジンタクシー株式会社は、タクシー事業やリムジン送迎事業を手掛ける会社である。「利用する全ての人々へ、プレミアムなひと時を」をモットーに、パーティーやウエディング、メモリアルクルーズやビジネスなどの多数のプランを用意している。「良質なサービス」と「唯一無二」のプロデュースで、打ち合わせから到着までの間寄り添い続ける。,"運輸・物流業界, タクシー",〒 104-0061 東京都中央区銀座８丁目３番１０号,2007/8/10,遠藤知良,"9,500,000円","非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県",https://biz-maps.com/item/D0YLJLmrl9,
株式会社大出,0,大出運輸株式会社は、運輸に関する業務をおこなっている会社である。大手印刷会社の荷物を中心に雑誌や出版物、印刷物などの紙類・その他関連商品の配送業務をおこなっている。また、これから迎える高齢化社会を見据えてグラウンドゴルフやゲートボール、ノルディックウォーキングに使用する用品の販売など、シルバースポーツのサポートをする業務も手掛けている。,"運輸・物流業界, 一般貨物輸送",〒 121-0801 東京都足立区東伊興１丁目１番２６号,1971/8/14,山下 義尚,"10,000,000円","スポーツ業界企業, ドライバー求人, グリーン経営認証トラック業者, グリーン経営, 運輸・運送",https://biz-maps.com/item/B2ZByvg0lV,
株式会社ワールド・クウリアー,0,株式会社ワールド・クウリアーは、特殊貨物及び石油ガス等危険物専門の輸送事業を専門に行っている企業である。主に医薬品関連として徹底した温度管理を要する治験薬をはじめ、臨床研究用サンプル等の輸送を行う。世界140ヵ国に及ぶグローバルなネットワーク網を駆使したパーフェクトな業務を軸に、納期や管理制約のある製品輸送に尽力している。,"運輸・物流業界, 空運, 倉庫",〒 135-0042 東京都江東区東陽４丁目１１番３８号ＪＭＦビル東陽町０１,1980/11,伊藤太一,"225,000,000円","DODA(事務・アシスタント), 第6回インターフェックスWEEK大阪, 第9回販促EXPO夏, 第4回介護_介護看護メディカルジャパン2018)(大阪), 第4回営業支援EXPO夏, 第2回広告宣伝EXPO夏, 第2回 バイオ医薬 EXPO, キャリトレ(営業・マーケティング・コンサルタント、経営、企画、管理), 営業支援EXPO2015, iPROSS 企業ランキング上位20位(倉庫・運輸関連業), iPROSS 企業ランキング, ライフサイエンスワールド2015, DODA(既存・ルート営業), BioJapan 2016・再生医療JAPAN 2016, iPROSS, 再生医療JAPAN, 企画職募集, マーケティング職募集",https://biz-maps.com/item/L3Z7a9Rw1O,
株式会社大昌運輸,0,一般貨物運送業や倉庫業などを行う会社,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 123-0874 東京都足立区堀之内１丁目１７番１３号,1970/10,山本 明徹,"3,000,000円","健康経営優良法人2023(中小規模法人部門・ブライト500を除く)認定法人一覧, 運輸・運送, 運送業",https://biz-maps.com/item/3eYPKPqzZE,
葵交通株式会社,0,葵交通株式会社は、タクシー事業を行う。都内最大手のタクシー無線グループ「東京無線協同組合」に加入し、東京23区および武蔵野・三鷹地区を中心に営業する。また、日産東京販売ホールディングスのグループ会社として、日産セレナなどのユニバーサルデザイン車を導入し車いす乗車を可能とするなど、すべての顧客の「安全・安心・快適」な利用を目指す。,"運輸・物流業界, タクシー",〒 166-0012 東京都杉並区宮前４丁目３０番１号,1951/2/21,田中　秀和,"50,000,000円","今年求人を行なっている企業, マイナビ2025, ドラEVER掲載企業, エン転職(掲載期間1208_1221), グリーン経営",https://biz-maps.com/item/6p1X8EAo1N,
ハパックロイドジャパン株式会社,0,ハパックロイドジャパン株式会社は、コンテナ輸送事業を行う会社である。ドイツにある船社「ハパックロイド」の総代理店であり、日本とヨーロッパ・北米・中南米・アジアといった世界各地の港を結ぶコンテナ輸送サービスを提供している。東京本社のほか、名古屋と大阪に支店を展開しており、グローバルな輸送ニーズに応える事業展開が強み。,"運輸・物流業界, 海運",〒 102-0082 東京都千代田区麹町１丁目１２番地１住友不動産ふくおか半蔵門ビル２Ｆ,1996/12,N.マイヤー,"100,000,000円","BIZMAPSで特に閲覧数の多い企業, 外資系企業",https://biz-maps.com/item/x6YVRd2xYB,
東京エムケイ株式会社,0,東京エムケイ株式会社は、旅客自動車運送事業を行う会社である。メルセデスベンツやBMW・レクサス・トヨタクラウンなどのハイヤー、レクサス・トヨタクラウン・トヨタアルファードなどのタクシー、成田・羽田空港送迎などを行う。空港送迎では税関出口までステッカーを持って迎えに行く「ステッカーミートサービス」も提供する。,"運輸・物流業界, タクシー",〒 105-0004 東京都港区東新橋１丁目１番２１号,1997/3/27,項　心江,"100,000,000円","今年求人を行なっている企業, リクナビ2025, 求人ボックス(事務職×東京), バイトル(外国人活躍中・留学生歓迎)@関東, カーワク(自動車整備士求人), マイナビ2023 (21年11月), 中途採用を複数媒体で行っている企業, 新卒採用を複数媒体で行っている企業, リクナビ2022(3年連続売上高UP企業)2, リクナビ2022(3年連続売上高UP企業)1, リクナビ(プレエントリー)@東京・大阪, エンジャパン(外国語を活かす), リクナビNEXT(社宅・家賃補助制度あり), リクナビNEXT(採用予定人数10名以上), リクナビNEXT(英語・中国語など語学を活かす), リクナビNEXT(2年連続売り上げ10%アップ), リクナビ2020, FROM40(製造・設備・運輸系), anバイト(外国人), エン転職",https://biz-maps.com/item/Vo1e9rjV1W,
