会社名,キーマン人数,事業内容,業種,住所,設立年度,代表者名,資本金等,オリジナルタグ,企業URL,問い合わせURL,問い合わせフォームURL
日清物流株式会社,0,日清物流株式会社は、運送や流通加工を行う会社である。日清オイリオのグループ会社であり、日清オイリオの食用油やパッケージ製品などの荷役や保管、配送を行う。流通加工では、日清オイリオのギフトセットのセッティングを主に行っている。そのほか、工場で搾油された原料の保管や荷役、配送も行う。また、倉庫やタンク事業も手掛けており、横浜や大阪、福岡の3拠点で乳製品や穀物、植物油などを扱っている。,"運輸・物流業界, 運輸・物流業界, その他運輸・物流, その他運輸・物流, 倉庫, 倉庫",〒 235-8558 神奈川県横浜市磯子区新森町1番地,1988/4/2,森川 聡,"100,000,000円","マイナビ2026(インターン募集企業×東京・千葉・神奈川検索), 今年求人を行なっている企業, マイナビ2025, DODA(事務・アシスタント), ハローワーク(事務職採用×一都三県), BtoB業種, 食品業界(上場企業・子会社)売上高ランキングトップ50, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 公益社団法人日本ロジスティクスシステム協会, 一般社団法人日本倉庫協会, 協会・組合, 倉庫保有",https://biz-maps.com/item/v91JgWKAlK,,https://www.nisshin-nlc.com/form/form.php?situation=inquiry
株式会社平沢運送,0,株式会社平沢運送は、一般貨物の運送を行う会社である。印刷物の配送を主に手掛けている。配送エリアは全国に対応しており、迅速かつ、配送中の印刷物の品質管理体制も整えている。企業からの配送の委託も受けている。雑誌やチラシなど流通サイクルが早い製品の運送を得意としており、大型車両やバン、普通車など多くの車両を保有し、経験豊富なスタッフが対応を行う。,"運輸・物流業界, 一般貨物輸送",〒 250-0851 神奈川県小田原市曽比1842,1972/2/2,平澤 キヨ子,"10,000,000円","グリーン経営認証トラック業者, グリーン経営",https://biz-maps.com/item/85lWKVJblg,,
株式会社宮島運輸,0,株式会社宮島運輸は、輸送事業を行っている会社である。海上コンテナを保有し、海外からの様々な輸送を請け負っている。また、貨物自動車運送も手掛け、エアコンや雑貨を都内に配達している。さらに、10トン車から軽貨物車まで、あらゆる車両での輸送に対応している。その他、遺品整理や引っ越しサービス、貸切バスの運行などの事業を展開している。,"運輸・物流業界, 一般貨物輸送",〒 234-0052 神奈川県横浜市港南区笹下1丁目5番9号,1972/3/1,宮島 秀晴,"10,000,000円","有料職業紹介事業@一都三県, 求人ボックス(海上コンテナの仕事×東京・神奈川検索), 人材サービス総合サイト掲載@神奈川・山梨, 職業紹介事業(令和4年～)@全国, 遺品整理士認定協会@東京・神奈川・千葉, グリーン経営, 運送業, 遺品整理士認定協会優良企業, 士業",https://biz-maps.com/item/x6YVmr82ZB,,https://miyajima-unyu.com/contact.html
株式会社毎日輸送サービス,0,株式会社毎日輸送サービスは1973年に設立し、輸送業務として折込広告配送業務全般、一般貨物輸送、発送業務として全国の提携会社への発送・取次、倉庫管理業務として、折込広告の入出管理を行なっている会社である。安全、正確、迅速な物流の総合企業を目指し、協力会社と連携し物流コストの削減と全国発送網を確立している。,"運輸・物流業界, 一般貨物輸送, 倉庫",〒 352-0011 埼玉県新座市野火止1-13-16-4,1973/8,金久保 晶太,"10,000,000円","非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 非上場企業(従業員100名以下_利益2000万円以上)@一都三県, 運送業",https://biz-maps.com/item/WX1N7xP4lj,,https://www.orikomipr.com/mainichi_contact.html
株式会社エス・リンク,0,株式会社エス・リンクは一般貨物の運送を行っている企業である。車両は全部で35台あり全車両に「みまもりくん」というデジタコグラフを装備している。みまもりくんは車両位置や庫内温度、時間など運行状況をリアルタイムで把握できるシステムである。また、2層式車両を使用しているため冷凍・冷蔵を同時に輸送することができる。,"運輸・物流業界, 運輸・物流業界, 冷凍冷蔵車運行, 冷凍冷蔵車運行",〒 331-0811 埼玉県さいたま市北区吉野町2丁目243番2,2006/6/12,土田　武士,"3,000,000円",運送業,https://biz-maps.com/item/kDZrkML9YG,,https://www.s-link.jp/contact/web/
株式会社ワーム,0,株式会社ワームは、物流加工サービスを提供する会社である。物流アウトソーシング・流通加工・商品保管・入出庫管理・チャーター便運輸業務・コスト削減などの要望に応える。カラーコンタクトレンズ、アミューズメント玩具・筐体、自転車、食品（常温）等の取扱い実績がある。埼玉県八潮市を中心に7拠点、総坪数8000坪超で事業を行い、在庫保管サービスにも対応。楽天通販サイトで「ecコンビニタウン」を運営している。,"運輸・物流業界, 運輸・物流業界, 倉庫, 倉庫, 倉庫, 倉庫, 倉庫, 倉庫, 倉庫, 倉庫",〒 340-0822 埼玉県八潮市大瀬921-2,/10,村上 弘明,"10,000,000円",-,https://biz-maps.com/item/WX1N7xmOlj,,https://www.wrm.co.jp/contact/
株式会社協和運輸,0,株式会社協和運輸は、物流業を事業の柱としている企業である。全車両ユニック車両で、建築資材や土木資材名を主に関東一円を中心エリアとして業務を行っており、ユニックに特化した輸送体制で顧客のニーズに対応している。また、多種多様な物流に対応している。地域貢献・環境問題に貢献する企業を目指している。,"運輸・物流業界, 機械輸送, 機械輸送, 自動販売機, 自動販売機",〒 352-0022 埼玉県新座市本多1丁目1番26号,1956/3,-,-,-,https://biz-maps.com/item/D3YbmqKmZz,,https://kyowa-trp.co.jp/contact/
朝日急送株式会社,0,朝日急送株式会社は、主に折り込み広告の配送事業を行っている。横浜センターを中心とした各地の提携グループとのネットワーク活用によって全国配送対応を実現。その他、仕分けや梱包、発送代行業務までを一貫して対応するための設備の充実さ・作業効率の良さ・鮮度の良い情報提供力が特徴だ。,"運輸・物流業界, 一般貨物輸送",〒 341-0043 埼玉県三郷市栄4丁目256番地,1983/12,家光 隆典,"10,000,000円",運送業,https://biz-maps.com/item/3eYPp5VzYE,,http://www.asahi-kyuso.co.jp/contact
株式会社ティ・アンド・ケイパッケージ,0,株式会社ティ・アンド・ケイパッケージは、キャンペーンサポートや商品梱包発送サービスを手掛けている会社である。埼玉県草加市に本社を置き、郵便物の引き取りや私書箱の設置、梱包発送業務アウトソーシングなどを手掛けており、顧客からの幅広いニーズに応えている。申し込みハガキやクーポン券などの読み取りにOCRを導入しており、作業効率を高めている。,"アウトソーシング・代行サービス, データ入力・事務作業代行, 倉庫",〒 340-8501 埼玉県草加市北谷3丁目40番7号,1981/7,丹羽 寛人,"10,000,000円",-,https://biz-maps.com/item/oelO4kD8ZA,,https://tandk-package.jimdoweb.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/
有限会社あおい運輸,0,有限会社あおい運輸は、運送事業を行う会社である。アスファルト合材や骨材、土砂等の運搬を行っている。民間工事や道路の舗装工事等幅広い工事現場に対応できる。また、建築資材の運搬のほか、産業廃棄物運搬業務や骨材・アスファルト等の販売業務にも取り組んでいる。主要取引先は、UDトラックス株式会社や丸昭自動車工業株式会社等が中心である。,"運輸・物流業界, 一般貨物輸送",〒 226-0015 神奈川県横浜市緑区三保町1108番地,1964/12/7,矢﨑 克実,"10,000,000円","ジャパントラックショー2024, 事業再構築補助金(令和3年第3回採択結果), アクティブシニア活用, リサイクル・廃棄物処理, 土木系",https://biz-maps.com/item/jg16v7EK19,,https://aoi-unyu.com/pages/toiawase.html
株式会社伸和,0,株式会社伸和は、食品や雑貨等の車輌配送などを行っている会社である。コンビニエンスストア・スーパー・ドラックストア等の配送を行っており、食料品・飲料品・菓子類・薬品・住宅設備機器などを取り扱っている。温度管理が必要な商品や取扱注意品の配送まで幅広く対応している。取引銀行は、三井住友銀行つきみ野支店・横浜信用金庫瀬谷支店などがある。,"運輸・物流業界, 冷凍冷蔵車運行",〒 246-0006 神奈川県横浜市瀬谷区上瀬谷町25番地2,1989/10,佐藤 新平,"10,000,000円",運送業,https://biz-maps.com/item/gm1yRyExlo,,https://shinwa-holdings.co.jp/contact/
株式会社エスアールシー,0,株式会社エスアールシーは、配送業務 、配送センターの運営管理業務 、一般貨物・仕分け配送業務等の運送事業、内生ゴミ・発泡スチロールリサイクル処理業務の環境事業やその他にも、ふらんす亭、おだわらおかズの外食事業を展開している会社である。またその他、物流システムの構築に役立つ運営管理の提案を行っている。,"運輸・物流業界, 一般貨物輸送",〒 256-0813 神奈川県小田原市前川183番地の13,1982/11/6,古川達高,"20,000,000円","栃木県岩舟町商工会, リサイクル・廃棄物処理, 運送業",https://biz-maps.com/item/jg16vQex19,,https://www.src-co.jp/contact.php
株式会社県央資源センター,0,株式会社県央資源センターは、廃棄物の回収を行う会社である。県央エリアを拠点に一般廃棄物の収集および運搬業務を行っている。工場・建設現場等から排出される廃棄物の回収や、移転・閉鎖倉庫等の在庫処分を行っている。家屋や設備等の解体工事や原状回復工事、不要機材や設備の搬出除去を行うほか、清掃・緑地整備も行っている。,"運輸・物流業界, 機械輸送",〒 252-1123 神奈川県綾瀬市早川3085番地,1985/3,笠間 久恵,"45,000,000円","土木系, 産業廃棄物収集運搬業(電子マニュフェスト対応)",https://biz-maps.com/item/vx1jQRX3YG,,https://www.kenoh-shigen.co.jp/blank-4
